Pressure (mbar),Distance Cycle 1 (mm),Load Cycle 1 (kg)
6000.0,198.0,43.01732925586136
5900.0,199.0,43.01732925586136
5800.0,199.0,43.01732925586136
5700.0,199.0,43.11926605504587
5600.0,200.0,43.01732925586136
5500.0,200.0,42.915392456676855
5400.0,201.0,42.50764525993883
5300.0,199.0,41.386340468909275
5200.0,195.0,42.50764525993883
5100.0,190.0,43.6289500509684
5000.0,187.0,43.425076452599384
4900.0,186.0,42.60958205912334
4800.0,184.0,42.303771661569826
4700.0,181.0,42.40570846075433
4600.0,178.0,42.915392456676855
4500.0,174.0,43.01732925586136
4400.0,171.0,43.01732925586136
4300.0,168.0,42.60958205912334
4200.0,165.0,42.60958205912334
4100.0,161.0,42.71151885830785
4000.0,158.0,42.915392456676855
3900.0,154.0,42.915392456676855
3800.0,150.0,42.71151885830785
3700.0,146.0,42.813455657492355
3600.0,142.0,42.71151885830785
3500.0,138.0,42.71151885830785
3400.0,134.0,42.813455657492355
3300.0,129.0,42.71151885830785
3200.0,126.0,41.99796126401631
3100.0,123.0,40.97859327217125
3000.0,121.0,39.75535168195719
2900.0,120.0,38.430173292558614
2800.0,117.0,37.61467889908257
2700.0,114.0,37.20693170234455
2600.0,114.0,34.6585117227319
2500.0,113.0,32.517838939857285
2400.0,113.0,30.682976554536186
2300.0,113.0,28.95005096839959
2200.0,113.0,27.013251783893985
2100.0,113.0,25.28032619775739
2000.0,112.0,23.445463812436287
1900.0,112.0,21.61060142711519
1800.0,112.0,19.775739041794086
1700.0,112.0,18.144750254842
1600.0,111.0,16.411824668705403
1500.0,111.0,14.37308868501529
1400.0,111.0,12.945973496432211
1300.0,111.0,11.314984709480122
1200.0,110.0,9.27624872579001
1100.0,110.0,7.441386340468909
1000.0,109.0,5.912334352701325
900.0,107.0,4.689092762487258
800.0,104.0,3.771661569826707
700.0,100.0,3.058103975535168
600.0,94.0,2.854230377166157
500.0,87.0,2.7522935779816513
400.0,81.0,2.650356778797146
300.0,73.0,2.54841997961264
200.0,66.0,2.7522935779816513
100.0,60.0,2.650356778797146
